ttle,year,year,certificate,duration,genre,genre 2,genre 3,stars,votes,description,rating
Cobra Ka,2018,2018,TV14,30 mn,Acton, Comedy, Drama,"['Ralph Maccho, ', 'Wllam Zabka, ', 'Courtney Henggeler, ', 'Xolo Mardueña']","177,031","Decades after their 1984 All Valley Karate Tournament bout, a middleaged Daniel LaRusso and Johnny Lawrence find themselves martialarts rivals again.",8.5
The Crown,2016,2016,TVMA,58 mn,Bography, Drama, Hstory,"['Clare Foy, ', 'Olva Colman, ', 'melda Staunton, ', 'Matt Smth']","199,885",Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,8.7
Better Call Saul,2015,20152022,TVMA,46 mn,Crme, Drama,,"['Bob Odenkrk, ', 'Rhea Seehorn, ', 'Jonathan Banks, ', 'Patrck Faban']","501,384",The trials and tribulations of criminal lawyer Jimmy McGill before his fateful runin with Walter White and Jesse Pinkman.,8.9
Devl n Oho,2022,2022,TVMA,356 mn,Drama, Horror, Mystery,"['Emly Deschanel, ', 'Sam Jaeger, ', 'Gerardo Celasco, ', 'Madelene Arthur']","9,773","When a psychiatrist shelters a mysterious cult escapee, her world is turned upside down as the girl's arrival threatens to tear her own family apart.",5.9
Cyberpunk: Edgerunners,2022,2022,TVMA,24 mn,Anmaton, Acton, Adventure,"['Zach Agular, ', 'Kenchro Ohash, ', 'Em Lo, ', 'Ao Yûk']","15,413","A Street Kid trying to survive in a technology and body modificationobsessed city of the future. Having everything to lose, he chooses to stay alive by becoming an Edgerunner, a Mercenary outlaw also known as a Cyberpunk.",8.6
The Sandman,2022,2022,TVMA,45 mn,Drama, Fantasy, Horror,"['Tom Sturrdge, ', 'Boyd Holbrook, ', 'Patton Oswalt, ', 'Vvenne Acheampong']","116,358","Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment.",7.8
Rck and Morty,2013,2013,TVMA,23 mn,Anmaton, Adventure, Comedy,"['Justn Roland, ', 'Chrs Parnell, ', 'Spencer Grammer, ', 'Sarah Chalke']","502,160",An animated series that follows the exploits of a super scientist and his notsobright grandson.,9.2
Breakng Bad,2008,20082013,TVMA,49 mn,Crme, Drama, Thrller,"['Bryan Cranston, ', 'Aaron Paul, ', 'Anna Gunn, ', 'Betsy Brandt']","1,831,340",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,9.5
The mperfects,2022,2022,TVMA,45 mn,Acton, Adventure, Drama,"['Morgan Taylor Campbell, ', 'tala Rcc, ', 'Rhanna Jagpal, ', 'ñak Godoy']","3,123","After an experimental gene therapy turns them into monsters, three twentysomethings band together to hunt down the scientist responsible and force him to make them human again.",6.3
Blonde,2022,2022,NC17,166 mn,Bography, Drama, Mystery,"['Andrew Domnk', '| ', '    Stars:', 'Ana de Armas, ', 'Lucy DeVto, ', 'Garret Dllahunt, ', 'Adren Brody']",935,A fictionalized chronicle of the inner life of Marilyn Monroe.,6.2
Stranger Thngs,2016,2016,TV14,51 mn,Drama, Fantasy, Horror,"['Mlle Bobby Brown, ', 'Fnn Wolfhard, ', 'Wnona Ryder, ', 'Caleb McLaughln']","1,149,889","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",8.7
End of the Road,2022,2022,R,89 mn,Acton, Crme, Drama,"['Mllcent Shelton', '| ', '    Stars:', 'Queen Latfah, ', 'Ludacrs, ', 'Mychala Lee, ', 'Shaun Dxon']","5,122",Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,8.1
The Walkng Dead,2010,20102022,TVMA,44 mn,Drama, Horror, Thrller,"['Andrew Lncoln, ', 'Norman Reedus, ', 'Melssa McBrde, ', 'Lauren Cohan']","970,060",Famed Southern detective Benoit Blanc travels to Greece for his latest case.,8.1
Glass Onon: A Knves Out Mystery,2022,2022,PG13,139 mn,Crme, Drama, Mystery,"['Ran Johnson', '| ', '    Stars:', 'Danel Crag, ', 'Edward Norton, ', 'Kate Hudson, ', 'Dave Bautsta']",547,Drea and Eleanor agree to go after one another's bullies.,6.4
Do Revenge,2022,2022,TVMA,118 mn,Comedy,,,"['Jennfer Kaytn Robnson', '| ', '    Stars:', 'Camla Mendes, ', 'Maya Hawke, ', 'Austn Abrams, ', 'Rsh Shah']","13,457",Follows a young graffiti artist who discovers a shocking secret that would put him and the ones closest to him in danger.,6.1
 Came By,2022,2022,TVMA,110 mn,Thrller,,,"['Babak Anvar', '| ', '    Stars:', 'Antono Aakeel, ', 'Alca AmbroseBayly, ', 'Percelle Ascott, ', 'Franc Ashman']","16,230",Roxana Aubrey decides to drop her studies and escape her life in Paris for a free diving course in the south of France. She is quickly pulled into a life that reaches new depths brought by the weight of an ocean's descent.,5.8
No Lmt,2022,2022,TVMA,118 mn,Drama, Romance, Sport,"['Davd M. Rosenthal', '| ', '    Stars:', 'Camlle Rowe, ', 'Sofane Zerman, ', 'César Domboy, ', 'Laurent Fernandez']","1,695","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",8.8
Peaky Blnders,2013,20132022,TVMA,60 mn,Crme, Drama,,"['Cllan Murphy, ', 'Paul Anderson, ', 'Sophe Rundle, ', 'Helen McCrory']","531,058","A liveaction adaptation of Nickelodeon's Winx Club (2004). It follows Bloom as she adjusts to life in the Otherworld, where she must learn to control her dangerous magical powers.",6.9
Fate: The Wnx Saga,2021,2021,TVMA,,Acton, Adventure, Drama,"['Sade Soverall, ', 'Abgal Cowen, ', 'Fredde Thorp, ', 'Hannah van der Westhuysen']","43,179",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middleearth from the Dark Lord Sauron.,8.8
The Lord of the Rngs: The Fellowshp of the Rng,2001,2001,PG13,178 mn,Acton, Adventure, Drama,"['Peter Jackson', '| ', '    Stars:', 'Eljah Wood, ', 'an McKellen, ', 'Orlando Bloom, ', 'Sean Bean']","1,844,055",A drama centered on the personal and professional lives of five surgical interns and their supervisors.,7.6
Grey's Anatomy,2005,2005,TV14,41 mn,Drama, Romance,,"['Ellen Pompeo, ', 'Chandra Wlson, ', 'James Pckens Jr., ', 'Justn Chambers']","303,617","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.",8.4
Supernatural,2005,20052020,TV14,44 mn,Drama, Fantasy, Horror,"['Jared Padaleck, ', 'Jensen Ackles, ', 'Jm Beaver, ', 'Msha Collns']","439,597","An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, and a bleak beach town and desert valley.",8
Amercan Horror Story,2011,2011,TVMA,60 mn,Drama, Horror, ScF,"['Lady Gaga, ', 'Kathy Bates, ', 'Angela Bassett, ', 'Sarah Paulson']","312,970",A civilian businessman who has no choice but to cooperate with the secret operation of the National Intelligence Service to arrest the Korean drug lord who has taken control of Suriname in South America.,7.4
The Accdental Narco,2022,2022,TVMA,50 mn,Acton, Bography, Crme,"['Ha Jungwoo, ', 'Hwang Jungmn, ', 'Park Haesoo, ', 'Woojn Jo']","2,056","The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.",7.8
NCS,2003,2003,TV14,60 mn,Acton, Crme, Drama,"['Davd McCallum, ', 'Mark Harmon, ', 'Sean Murray, ', 'Pauley Perrette']","145,895",Follows the personal and professional lives of six twenty to thirtysomethingyearold friends living in Manhattan.,8.9
Frends,1994,19942004,TV14,22 mn,Comedy, Romance,,"['Jennfer Anston, ', 'Courteney Cox, ', 'Lsa Kudrow, ', 'Matt LeBlanc']","979,424","A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",8.6
Shameless,2011,20112021,TVMA,46 mn,Comedy, Drama,,"['Emmy Rossum, ', 'Wllam H. Macy, ', 'Ethan Cutkosky, ', 'Jeremy Allen Whte']","239,541",Three different but related families face trials and tribulations in their own uniquely comedic ways.,8.5
Modern Famly,2009,20092020,TVPG,22 mn,Comedy, Drama, Romance,"[""Ed O'Nell, "", 'Sofía Vergara, ', 'Jule Bowen, ', 'Ty Burrell']","423,963","A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.",8.5
Ozark,2017,20172022,TVMA,60 mn,Crme, Drama, Thrller,"['Jason Bateman, ', 'Laura Lnney, ', 'Sofa Hubltz, ', 'Skylar Gaertner']","309,552","Leni and Gina are identical twins who have secretly swapped their lives since they were children, culminating in a double life as adults, but one of the sisters goes missing and everything in their perfectly schemed world turns into chaos.",5.9
Echoes,2022,2022,TVMA,326 mn,Drama, Mystery, Thrller,"['Mchelle Monaghan, ', 'Matt Bomer, ', 'Karen Robnson, ', 'Al Stroker']","9,380","When the CIA's most skilled operativewhose true identity is known to noneaccidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins.",6.5
The Gray Man,2022,2022,PG13,122 mn,Acton, Thrller,,"['Anthony Russo, ', 'Joe Russo', '| ', '    Stars:', 'Ryan Goslng, ', 'Chrs Evans, ', 'Ana de Armas, ', 'Blly Bob Thornton']","172,136",Follows a dad who finds time for himself for the first time in years while his wife and kids are away. He reconnects with a friend for a wild weekend.,5
Me Tme,2022,2022,R,101 mn,Comedy,,,"['John Hamburg', '| ', '    Stars:', 'Kevn Hart, ', 'Mark Wahlberg, ', 'Regna Hall, ', 'Che Tafar']","26,092","On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.",8.5
Suts,2011,20112019,TV14,44 mn,Comedy, Drama,,"['Gabrel Macht, ', 'Patrck J. Adams, ', 'Meghan Markle, ', 'Sarah Rafferty']","405,863","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",8.2
Vkngs,2013,20132020,TVMA,44 mn,Acton, Adventure, Drama,"['Katheryn Wnnck, ', 'Gustaf Skarsgård, ', 'Alexander Ludwg, ', 'Georga Hrst']","524,630","A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.",8
The Wtcher,2019,2019,TVMA,60 mn,Acton, Adventure, Drama,"['Henry Cavll, ', 'Freya Allan, ', 'Anya Chalotra, ', 'Mm Ndwen']","481,837",The continuing misadventures of neurotic New York City standup comedian Jerry Seinfeld and his equally neurotic New York City friends.,8.9
The Blacklst,2013,2013,TV14,43 mn,Crme, Drama, Mystery,"['James Spader, ', 'Megan Boone, ', 'Dego Klattenhoff, ', 'Ryan Eggold']","245,591",Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles  the City of Angels.,8.1
Senfeld,1989,19891998,TVPG,22 mn,Comedy,,,"['Jerry Senfeld, ', 'Jula LousDreyfus, ', 'Mchael Rchards, ', 'Jason Alexander']","314,089","A family of former child heroes, now grown apart, must reunite to continue to protect the world.",7.9
Lucfer,2016,20162021,TV14,42 mn,Crme, Drama, Fantasy,"['Tom Ells, ', 'Lauren German, ', 'Kevn Alejandro, ', 'D.B. Woodsde']","318,928","As Alfred the Great defends his kingdom from Norse invaders, Uhtredborn a Saxon but raised by Vikingsseeks to claim his ancestral birthright.",8.5
The Umbrella Academy,2019,20192023,TV14,60 mn,Acton, Adventure, Comedy,"['Ellot Page, ', 'Tom Hopper, ', 'Davd Castañeda, ', 'Emmy RaverLampman']","243,344","Centers on Ingrid Yun, an idealistic young lawyer, struggles with her moral compass and her passions as she fights to climb the partner track at an elite New York City law firm.",6.8
The Last Kngdom,2015,20152022,TVMA,60 mn,Acton, Drama, Hstory,"['Alexander Dreymon, ', 'Elza Butterworth, ', 'Arnas Fedaravcus, ', 'Mark Rowley']","136,936","A young woman takes a trip to romantic Verona, Italy, after a breakup, only to find that the villa she reserved was doublebooked, and she'll have to share her vacation with a cynical British man.",5.3
Partner Track,2022,2022,TVMA,60 mn,Drama,,,"['Arden Cho, ', 'Alexandra Turshen, ', 'Bradley Gbson, ', 'Domnc Sherwood']","3,840","An anthology series exploring a twisted, hightech multiverse where humanity's greatest innovations and darkest instincts collide.",8.8
Love n the Vlla,2022,2022,TV14,114 mn,Comedy, Romance,,"['Mark Steven Johnson', '| ', '    Stars:', 'Kat Graham, ', 'Tom Hopper, ', 'Raymond Ablack, ', 'Laura Hopper']","7,048","Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.",8.4
Black Mrror,2011,20112019,TVMA,60 mn,Drama, Mystery, ScF,"['Danel Lapane, ', 'Hannah JohnKamen, ', 'Mchaela Coel, ', 'Beatrce RobertsonJones']","535,782","Hundreds of cashstrapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billionwon prize at stake.",8
Brooklyn NneNne,2013,20132021,TV14,22 mn,Comedy, Crme,,"['Andy Samberg, ', 'Stephane Beatrz, ', 'Terry Crews, ', 'Melssa Fumero']","309,004","A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.",8.2
Squd Game,2021,2021,TVMA,55 mn,Acton, Drama, Mystery,"['Lee Jungjae, ', 'Park Haesoo, ', 'Hoyeon, ', 'Oh Yeongsu']","435,160",An English combat nurse from 1945 is mysteriously swept back in time to 1743.,8.4
Glmore Grls,2000,20002007,TVPG,44 mn,Comedy, Drama,,"['Lauren Graham, ', 'Alexs Bledel, ', 'Keko Agena, ', 'Scott Patterson']","124,087","The complicated life of a modernday first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.",7.9
Outlander,2014,2014,TVMA,60 mn,Drama, Fantasy, Romance,"['Catríona Balfe, ', 'Sam Heughan, ', 'Sophe Skelton, ', 'Rchard Rankn']","158,268","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",9
�færð,2015,2015,TV14,60 mn,Crme, Drama, Mystery,"['�lafur Darr �lafsson, ', 'lmur Krstjánsdóttr, ', 'Björn Hlynur Haraldsson, ', 'Guðjón Pedersen']","21,641","A commercial airliner suddenly reappears after being missing for five years. As those aboard reintegrate into society, they experience guiding voices and visions of events yet to occur, and soon a deeper mystery unfolds.",7.1
Never Have  Ever,2020,20202023,TV14,30 mn,Comedy, Drama,,"['Matrey Ramakrshnan, ', 'Poorna Jagannathan, ', 'Darren Barnet, ', 'John McEnroe']","56,216","After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's death.",7.3
Attack on Ttan,2013,20132023,TVMA,24 mn,Anmaton, Acton, Adventure,"['Josh Grelle, ', 'Yûk Kaj, ', 'Yu shkawa, ', 'Marna noue']","363,297","A hardworking, bluecollar dad just wants to provide a good life for his quickwitted 10yearold daughter. His mundane San Fernando Valley pool cleaning job is a front for his real source of income: hunting and killing vampires.",6.1
Manfest,2018,2018,TV14,43 mn,Drama, Mystery, ScF,"['Melssa Roxburgh, ', 'Josh Dallas, ', 'J.R. Ramrez, ', 'Luna Blase']","59,167","A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.",8.7
Locke & Key,2020,20202022,TV14,48 mn,Drama, Fantasy, Horror,"['Darby Stanchfeld, ', 'Connor Jessup, ', 'Emla Jones, ', 'Jackson Robert Scott']","84,847",A darker version of the classic children's fairy tale of a wooden puppet that transforms into a real living boy.,
Day Shft,2022,2022,R,113 mn,Acton, Comedy, Fantasy,"['J.J. Perry', '| ', '    Stars:', 'Jame Foxx, ', 'Dave Franco, ', 'Natasha Lu Bordzzo, ', 'Meagan Good']","62,931",A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,8.4
Dark,2017,20172020,TVMA,60 mn,Crme, Drama, Mystery,"['Lous Hofmann, ', 'Karolne Echhorn, ', 'Lsa Vcar, ', 'Maja Schöne']","371,981",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,9
Gullermo del Toro's Pnoccho,2022,2022,,114 mn,Anmaton, Drama, Famly,"['Gullermo del Toro, ', 'Mark Gustafson', '| ', '    Stars:', 'Gregory Mann, ', 'Ewan McGregor, ', 'Ron Perlman, ', 'Fnn Wolfhard']",,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.",7.7
Sex Educaton,2019,2019,TVMA,45 mn,Comedy, Drama,,"['Asa Butterfeld, ', 'Gllan Anderson, ', 'Ncut Gatwa, ', 'Emma Mackey']","273,671","Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.",7.4
